# t (s)	mx ()	my ()	mz ()
0	1	0	0
5.241055032036355e-12	0.9997774	-0.011775967	-0.00040078038
1.0081050647797806e-11	0.99912655	-0.02252471	-0.0012851068
1.525006209642509e-11	0.9978126	-0.03343043	-0.0027782938
2.0139107741974756e-11	0.9959445	-0.04276751	-0.004687069
2.5142957746594894e-11	0.9936243	-0.05092366	-0.0070754127
3.024723041239065e-11	0.9913666	-0.05743735	-0.009863076
3.508406789752202e-11	0.98993284	-0.061706018	-0.01272432
4.023526243360949e-11	0.98961776	-0.0640636	-0.015901944
4.509815048963173e-11	0.99052835	-0.06411518	-0.01894464
5.007402437361929e-11	0.9923203	-0.0619015	-0.02203734
5.510304835414556e-11	0.9944484	-0.057288375	-0.025077738
6.017477897672956e-11	0.99634427	-0.0502352	-0.02796968
6.507588628054978e-11	0.99758613	-0.041234937	-0.030498775
7.01183254853745e-11	0.998193	-0.0299515	-0.03271684
7.519940891196761e-11	0.9982456	-0.016819937	-0.03445553
8.00440464534791e-11	0.99790406	-0.0029996044	-0.03556837
8.52336377492562e-11	0.9972313	0.012785746	-0.0360983
9.022468357373371e-11	0.99627405	0.028473109	-0.03590778
9.521950781516478e-11	0.99475384	0.04417719	-0.035003576
1.0011334719861099e-10	0.9923835	0.05905743	-0.033434022
1.0518561549712518e-10	0.9889772	0.07341941	-0.031144608
1.1008078304365067e-10	0.9853694	0.085837066	-0.028390963
1.1506540076304957e-10	0.9824498	0.096713856	-0.025153223
1.201463351116187e-10	0.9812935	0.10568035	-0.021502502
1.2503630128913224e-10	0.9822819	0.1119865	-0.017741632
1.3021520971724798e-10	0.9849672	0.1158154	-0.013588682
1.3513638552083286e-10	0.98777026	0.11642914	-0.009585529
1.4008493893713508e-10	0.9895681	0.11390387	-0.0056287134
1.4513054848267367e-10	0.9898271	0.10812471	-0.0017988667
1.5010393814937676e-10	0.98911	0.099531926	0.0016499746
1.552018826531357e-10	0.98878515	0.08818576	0.004752643
1.6022379895825002e-10	0.9899533	0.07492784	0.007358247
1.651728478048442e-10	0.99226254	0.06010469	0.009503888
1.7005719877567833e-10	0.9941647	0.043941762	0.011157902
1.7502425498078378e-10	0.9939933	0.026251515	0.01221807
1.8020507491670632e-10	0.9907253	0.0070287203	0.012493043
1.8519849073068543e-10	0.985349	-0.011605836	0.011902574
1.9004444162021138e-10	0.9799085	-0.02936792	0.010583881
1.9519186554465613e-10	0.9759651	-0.047657736	0.008478656
2.0001828039595165e-10	0.9750537	-0.06403815	0.005922462
2.0512265481872432e-10	0.9768683	-0.08018053	0.0027086746
2.1017758417210516e-10	0.9800471	-0.09442273	-0.0008634589
2.1524659004083203e-10	0.982553	-0.106242806	-0.0047021005
2.2014302372057044e-10	0.9829644	-0.114673205	-0.008491861
2.2507415383588017e-10	0.9813739	-0.11984346	-0.012157143
2.3024389716941682e-10	0.9787672	-0.12185362	-0.015575672
2.350822668262763e-10	0.9767824	-0.12129111	-0.018233921
2.4011219309721355e-10	0.97599274	-0.119336054	-0.020497523
2.4508861978781854e-10	0.97642195	-0.117037535	-0.022558134
2.5006567290326787e-10	0.97712153	-0.1147014	-0.024967033
2.5509755269451983e-10	0.9765416	-0.11162085	-0.028259872
2.6021411282675675e-10	0.97298235	-0.106218345	-0.032559432
2.650806365513662e-10	0.96628267	-0.097569734	-0.03705466
2.701865164645779e-10	0.9576995	-0.08429463	-0.041402437
2.750491455137292e-10	0.9520295	-0.068124205	-0.04464328
2.801817751793879e-10	0.9529156	-0.048260614	-0.04701184
2.8501460013843415e-10	0.9607323	-0.027678194	-0.04857015
2.900246216398641e-10	0.9719171	-0.0048776926	-0.0500239
2.950281145790106e-10	0.98015887	0.019120296	-0.051707502
3.0002754147307384e-10	0.981326	0.043854587	-0.0537432
3.052471227998169e-10	0.9744524	0.069716066	-0.056335345
3.101876131736828e-10	0.9626339	0.09411566	-0.059518166
3.1513155152841275e-10	0.9486199	0.120018706	-0.063589476
3.201105480634653e-10	0.93446654	0.15055688	-0.06800783
3.2512647942643785e-10	0.92078304	0.18811981	-0.07125758
3.3017093266419336e-10	0.90658206	0.23198771	-0.071356446
3.3523699210527553e-10	0.89030695	0.27785358	-0.066824235
3.4006749071508077e-10	0.87223667	0.3181995	-0.058041982
3.451700023096536e-10	0.8515563	0.35356143	-0.045121975
3.50046219195813e-10	0.83332694	0.3796035	-0.031114692
3.5523163541356106e-10	0.8202156	0.40036562	-0.016306002
3.6021999877562863e-10	0.81726336	0.4151489	-0.0029327106
3.6518196429276656e-10	0.8247299	0.42488942	0.009883413
3.7001523875084377e-10	0.8401279	0.42804208	0.02278048
3.7503187487143155e-10	0.8595754	0.42198834	0.037489776
3.800139038005086e-10	0.87571204	0.40301698	0.05400962
3.852330619353899e-10	0.88373816	0.36571717	0.07316543
3.902020635248895e-10	0.88159496	0.31296074	0.09199321
3.9516918710827925e-10	0.8718947	0.246197	0.11001899
4.001423168982085e-10	0.85906285	0.16912119	0.12662081
4.0514299753522975e-10	0.847416	0.0833309	0.14154802
4.101893168166058e-10	0.83843875	-0.01175237	0.15389715
4.1503096585120837e-10	0.8304233	-0.11211528	0.1614316
4.201784306563356e-10	0.81787807	-0.22912368	0.16263866
4.25116509670187e-10	0.7972115	-0.34872225	0.15588365
4.300952477894559e-10	0.764165	-0.469517	0.14181566
4.350819471273454e-10	0.71673894	-0.5812228	0.12290008
4.4000050324732594e-10	0.65628606	-0.67346394	0.10218434
4.4507923543842344e-10	0.5843685	-0.74283206	0.08002347
4.500886153618332e-10	0.51314443	-0.7843667	0.057476215
4.550587509574239e-10	0.45040515	-0.8057847	0.03447843
4.600159818833862e-10	0.39927188	-0.8153761	0.011124743
4.652356282090444e-10	0.35962933	-0.81801844	-0.013504504
4.702273824481079e-10	0.33798656	-0.81635946	-0.03621234
4.752493020042732e-10	0.33453342	-0.8121522	-0.057272803
4.800636966378656e-10	0.34915838	-0.8054572	-0.07517325
4.851736129061695e-10	0.38291684	-0.7933828	-0.09139382
4.900262580034708e-10	0.42852458	-0.77464694	-0.10451553
4.951192634395448e-10	0.48412544	-0.7463547	-0.11676617
5.002215271744986e-10	0.54157215	-0.7109185	-0.12777439
5.050921208129892e-10	0.59519243	-0.6735716	-0.13711938
5.102367542303661e-10	0.6506228	-0.6327095	-0.14633226
5.151305483111853e-10	0.70256054	-0.59114504	-0.15581287
5.200192175422493e-10	0.75222516	-0.5413976	-0.16717748
5.251439975236108e-10	0.79777676	-0.47262394	-0.1803924
5.300185640656271e-10	0.82878864	-0.38701886	-0.19169015
5.351542330484647e-10	0.84353435	-0.27714968	-0.20006092
5.401879387790219e-10	0.8391522	-0.15628569	-0.20479436
5.451615931155886e-10	0.8172715	-0.031382747	-0.20726965
5.501263735122881e-10	0.7775727	0.09137188	-0.20784177
5.551294675236227e-10	0.72089016	0.20370238	-0.20565891
5.601943497415843e-10	0.65632427	0.2996245	-0.20046768
5.650306611096002e-10	0.5999311	0.37892658	-0.19278428
5.70117802121157e-10	0.5494021	0.45991835	-0.18064843
5.752270534866794e-10	0.5023569	0.5469028	-0.16450827
5.801138623978348e-10	0.45695016	0.6372519	-0.14777727
5.850102207104224e-10	0.4105947	0.7267928	-0.13161074
5.901454504995207e-10	0.35942525	0.80086726	-0.11626251
5.952527629812916e-10	0.3015111	0.83845425	-0.10337928
6.001083049566226e-10	0.23805329	0.8373951	-0.09314273
6.052365155536219e-10	0.16763677	0.800979	-0.083975844
6.100867442150728e-10	0.10914086	0.74518436	-0.078130096
6.15180956932433e-10	0.06529055	0.6862214	-0.07490123
6.200928778119264e-10	0.036453407	0.6434255	-0.07180161
6.251187751569725e-10	0.0070444494	0.6153014	-0.066686004
6.301723168313975e-10	-0.03428374	0.60039294	-0.06080277
6.350977449602685e-10	-0.089850776	0.59068835	-0.057131264
6.401386555365255e-10	-0.16014731	0.57809675	-0.058111753
6.451628633486752e-10	-0.23658513	0.57112753	-0.0640266
6.50003364906321e-10	-0.31003204	0.57726544	-0.06958309
6.550764176040176e-10	-0.38628763	0.59523124	-0.07002082
6.601660997433577e-10	-0.46588245	0.621396	-0.06813805
6.651396068564356e-10	-0.5462707	0.64081043	-0.07139732
6.700324825216069e-10	-0.61772513	0.6333608	-0.08026967
6.751149682996104e-10	-0.67239404	0.5921454	-0.091651484
6.80231956058526e-10	-0.70644605	0.5230208	-0.10215417
6.851262157531817e-10	-0.72483915	0.43724853	-0.10742068
6.900425588671018e-10	-0.73958784	0.34065747	-0.10682338
6.952230140875658e-10	-0.7560511	0.23731686	-0.10375602
7.001420853505037e-10	-0.7678257	0.14711182	-0.101514205
7.050382333550196e-10	-0.779398	0.07390813	-0.10085849
7.101858555830558e-10	-0.7941928	0.014985212	-0.10104764
7.151081802046402e-10	-0.807896	-0.032191694	-0.10043003
7.200861334205061e-10	-0.8222526	-0.08592927	-0.09694065
7.251214627177951e-10	-0.8408138	-0.14954023	-0.08924466
7.301071216373818e-10	-0.86355007	-0.21016419	-0.080100074
7.352528870633443e-10	-0.88615984	-0.26132002	-0.070025064
7.401518644988892e-10	-0.8997806	-0.29448092	-0.058172658
7.450166306744579e-10	-0.899899	-0.3141226	-0.04451645
7.501608436426642e-10	-0.88495463	-0.3257411	-0.028494554
7.550880433116178e-10	-0.8653172	-0.32860014	-0.011419657
7.600462847824226e-10	-0.850204	-0.3219716	0.0056960504
7.65007544846548e-10	-0.84235674	-0.30759448	0.020514127
7.702104800338769e-10	-0.8380651	-0.2883619	0.03223272
7.752059064950274e-10	-0.8397733	-0.26998058	0.03952328
7.802129960550046e-10	-0.8526899	-0.25237507	0.0433084
7.851851305026517e-10	-0.87505156	-0.23342152	0.04420231
7.900871369858941e-10	-0.90060556	-0.2115111	0.043388803
7.952438419290912e-10	-0.9263975	-0.18576828	0.042672377
8.001318035060624e-10	-0.9450603	-0.16022365	0.043924887
8.05009518862342e-10	-0.95688087	-0.1349365	0.047004
8.101421585092748e-10	-0.9653699	-0.11016734	0.05101312
8.151959192435904e-10	-0.9723961	-0.087078996	0.05499239
8.202169338212176e-10	-0.97716117	-0.06386016	0.058040127
8.250014570830842e-10	-0.9773493	-0.04130139	0.059187755
8.300553894372385e-10	-0.9732781	-0.016951198	0.05763143
8.351257299559204e-10	-0.96818215	0.0071612257	0.052566335
8.402165344836053e-10	-0.96528757	0.029021852	0.045026354
8.450591692904695e-10	-0.9657991	0.046530746	0.0375813
8.501576924669813e-10	-0.96833646	0.061501563	0.031590894
8.55024667214324e-10	-0.9705152	0.073011845	0.028831694
8.60205633503153e-10	-0.9720612	0.0831524	0.028750062
8.651947793568967e-10	-0.97431546	0.092109516	0.02975063
8.70232701914214e-10	-0.97810304	0.10107136	0.030016197
8.750215010578765e-10	-0.98192877	0.10908549	0.028658006
8.800835919370562e-10	-0.9847414	0.11542208	0.025257187
8.851752419200387e-10	-0.985569	0.11775961	0.02003944
8.902370030558897e-10	-0.98519474	0.115352884	0.013478189
8.952339523900966e-10	-0.9852687	0.10898216	0.006373946
9.001998039155071e-10	-0.9866447	0.09958476	-0.00035527357
9.051308988450857e-10	-0.9885719	0.08717518	-0.0058122096
9.100442154084475e-10	-0.98965234	0.07152557	-0.0093266275
9.1521031111377e-10	-0.98938745	0.052276082	-0.010786473
9.200977927862516e-10	-0.9885731	0.032887254	-0.010494444
9.252084048023388e-10	-0.9883008	0.013099798	-0.009193074
9.300496796583503e-10	-0.98907757	-0.0042812363	-0.0076006907
9.351434501032448e-10	-0.99052536	-0.021119721	-0.005867776
9.402416148695781e-10	-0.99163926	-0.03663481	-0.0043158396
9.450948462772265e-10	-0.99205667	-0.050179157	-0.003179259
9.502196237551523e-10	-0.9921936	-0.06316744	-0.0021458117
9.551012309863091e-10	-0.99234927	-0.073969424	-0.00089320046
9.602553980033938e-10	-0.9926502	-0.08312288	0.001173931
9.651703642080465e-10	-0.9930058	-0.089161545	0.004103975
9.701017545807347e-10	-0.9932474	-0.09229743	0.007915016
9.750360150338078e-10	-0.99327683	-0.09243036	0.01229605
9.802208365767089e-10	-0.9931787	-0.08940703	0.017064275
9.851351809219234e-10	-0.99318844	-0.08389676	0.021292688
9.900379997697078e-10	-0.99331385	-0.076440535	0.024826538
9.951949186787185e-10	-0.9933692	-0.067165926	0.027469285
1e-09	-0.99336755	-0.057632755	0.028761739
