# t (s)	mx ()	my ()	mz ()
0	1	0	0
5.015327936626084e-12	0.9996998	-0.011266512	-0.00038092796
1.0013586681589918e-11	0.99875593	-0.02235404	-0.0013123506
1.501590763418699e-11	0.9969835	-0.032857984	-0.0028069168
2.0004406359737587e-11	0.9943396	-0.04226036	-0.00483009
2.5002404586096118e-11	0.9911686	-0.050161295	-0.0073100175
3.000670064442056e-11	0.988262	-0.05621602	-0.010124118
3.501127736099781e-11	0.9865408	-0.0602216	-0.013137365
4.0011802078938834e-11	0.9865666	-0.062073987	-0.016236253
4.501253098832164e-11	0.9882547	-0.061697315	-0.01934857
5.000694561079395e-11	0.9909659	-0.059019998	-0.022417407
5.501203351954459e-11	0.993848	-0.05397936	-0.025392648
6.000339797851191e-11	0.99614716	-0.04662522	-0.028176684
6.501465070657955e-11	0.99749607	-0.03702738	-0.030680785
7.00071791230731e-11	0.9979466	-0.025498545	-0.032766767
7.500497009399834e-11	0.9976988	-0.012320245	-0.034341395
8.000221328330862e-11	0.99691504	0.0021117013	-0.03531072
8.501236824611147e-11	0.9958112	0.017399048	-0.03559771
9.001297394996642e-11	0.9943209	0.0329889	-0.03514781
9.500596165199032e-11	0.99201584	0.048350766	-0.03394991
1.0000628121161098e-10	0.9884725	0.06294685	-0.03202819
1.0501442879977009e-10	0.9839451	0.07624734	-0.02945904
1.1001109847695489e-10	0.9796925	0.08784245	-0.026379531
1.1501376804870246e-10	0.9773433	0.097531416	-0.022917297
1.2000614265299733e-10	0.97788185	0.105019	-0.019192403
1.2500950302245234e-10	0.98106366	0.10998007	-0.015277432
1.3000106664322622e-10	0.9852621	0.112009555	-0.011276659
1.3500650179138571e-10	0.9884353	0.11082204	-0.007278653
1.4001155482210888e-10	0.98931944	0.10633301	-0.0034262207
1.4500056209758122e-10	0.9882452	0.098760694	0.00015466288
1.5000037536863125e-10	0.98701173	0.08849526	0.0033560242
1.5500636597251798e-10	0.98761046	0.076048024	0.006116124
1.6001048451598676e-10	0.99028933	0.061729103	0.008480701
1.6500671465079508e-10	0.9930102	0.045661416	0.010432866
1.7001028757925818e-10	0.9930617	0.028061872	0.0117902
1.750075077121942e-10	0.9890245	0.009581982	0.012309427
1.8000273544606535e-10	0.98183364	-0.009016598	0.0118772155
1.8501464244360452e-10	0.9742387	-0.027243381	0.010545111
1.9000200548623939e-10	0.9691271	-0.044752046	0.008447852
1.9500459260165544e-10	0.96792495	-0.0615319	0.005643529
2.0001541978715567e-10	0.97056633	-0.07722097	0.0022567008
2.0500469986396122e-10	0.97521025	-0.091159	-0.001469519
2.1000247628878957e-10	0.9792138	-0.10264714	-0.005362533
2.1501523551702288e-10	0.98066616	-0.11090523	-0.0092512965
2.2000441568096609e-10	0.9795682	-0.115478896	-0.012845907
2.250130274671375e-10	0.9774466	-0.11665263	-0.015910335
2.3000978776048825e-10	0.97582114	-0.115288205	-0.018291824
2.3500340497031056e-10	0.97535014	-0.11268775	-0.020074954
2.40010607933654e-10	0.97569174	-0.11002454	-0.021595765
2.4500739118452984e-10	0.9755089	-0.1078093	-0.02353394
2.500017720859309e-10	0.9730986	-0.10533923	-0.026635068
2.5500314310692256e-10	0.9667661	-0.10076744	-0.030997917
2.6001463704859564e-10	0.956233	-0.092330664	-0.03588824
2.650093268272579e-10	0.9446104	-0.079606354	-0.040211838
2.7000911138827847e-10	0.9378629	-0.063331	-0.043300733
2.7501171583927984e-10	0.9412164	-0.04474935	-0.045108266
2.8001524454450555e-10	0.9538652	-0.024926417	-0.046250273
2.850004740280623e-10	0.96854573	-0.0041609583	-0.047641985
2.90012657073701e-10	0.9774711	0.017970752	-0.04981317
2.9500988467528896e-10	0.977062	0.040985428	-0.05271673
3.0000385061821756e-10	0.96856356	0.064038135	-0.056354877
3.0501199570841186e-10	0.95518535	0.08721958	-0.061166905
3.100085842359447e-10	0.9400298	0.112958975	-0.06733931
3.150093382675233e-10	0.9246721	0.14542915	-0.07381184
3.20013916443379e-10	0.9086304	0.18674088	-0.0782303
3.2500424211730524e-10	0.88990486	0.23402682	-0.07810122
3.300098813921209e-10	0.8670875	0.28114167	-0.07216745
3.3501425532739307e-10	0.8412932	0.32236767	-0.06082618
3.4000352457014024e-10	0.8158407	0.35543793	-0.04594091
3.450136446123077e-10	0.79578525	0.38151777	-0.03001747
3.50007174816345e-10	0.7863028	0.4029948	-0.015144635
3.5500981632863606e-10	0.7897731	0.42154574	-0.0015698544
3.600145328179045e-10	0.80567855	0.43569213	0.011740306
3.650057869517019e-10	0.8292903	0.44201684	0.025887378
3.700139059186771e-10	0.8517393	0.43602368	0.04187391
3.750087199737626e-10	0.8646344	0.41317874	0.05997486
3.8000699475354393e-10	0.8648646	0.37104508	0.07947223
3.8500444105485535e-10	0.8537779	0.31136006	0.098790266
3.9000060446856293e-10	0.8363104	0.23913649	0.11682368
3.950156233137947e-10	0.8185512	0.1588752	0.13330187
4.000023229878245e-10	0.80502796	0.074269705	0.14751454
4.0501001764361355e-10	0.7964422	-0.015909063	0.15836643
4.1000687944324693e-10	0.7896277	-0.11470241	0.16405122
4.1500646430471335e-10	0.7800599	-0.22509645	0.16238578
4.2001075636945187e-10	0.76315403	-0.34442973	0.15219316
4.2500818818596517e-10	0.7355621	-0.46342766	0.13489395
4.300135432215643e-10	0.69539183	-0.5721934	0.11387308
4.350009882156566e-10	0.64257395	-0.6617239	0.091963716
4.4000160133348615e-10	0.58018476	-0.7253603	0.06942058
4.4501040204941516e-10	0.5156454	-0.76108074	0.046018142
4.5000189658570266e-10	0.45557806	-0.77358246	0.021609165
4.550121738484623e-10	0.40464586	-0.7708511	-0.003953438
4.600078161525658e-10	0.3677767	-0.76063883	-0.029018857
4.650085627229603e-10	0.34791476	-0.7480146	-0.05223487
4.700001355977935e-10	0.34755895	-0.7351868	-0.07241115
4.750026973478192e-10	0.36967713	-0.72235215	-0.08839947
4.800106076522259e-10	0.41339457	-0.706837	-0.10054712
4.850085480283361e-10	0.47184786	-0.683481	-0.11149715
4.900091103872904e-10	0.5342636	-0.6491557	-0.122797154
4.950145006048199e-10	0.59337145	-0.6072968	-0.13275607
5.000023468717913e-10	0.6502667	-0.56580484	-0.13990611
5.050077536864987e-10	0.7070848	-0.5276886	-0.14632389
5.100060818552023e-10	0.75923973	-0.4870762	-0.15494515
5.150109631898481e-10	0.80022895	-0.4339338	-0.16590068
5.200121881276556e-10	0.82410985	-0.36117816	-0.17709506
5.250108099648571e-10	0.8288696	-0.26802248	-0.18605088
5.300016314681641e-10	0.81593084	-0.16129258	-0.19178382
5.350015691280633e-10	0.7899557	-0.049072806	-0.19550838
5.400081716805851e-10	0.7528586	0.06272014	-0.19818193
5.450089292984208e-10	0.7030339	0.16591963	-0.19864918
5.500031452958993e-10	0.6450025	0.2542054	-0.19580707
5.55011665984518e-10	0.59194136	0.3341297	-0.19054084
5.600024903766125e-10	0.54998094	0.41604027	-0.18236169
5.650062913443727e-10	0.50896895	0.50284994	-0.16971155
5.700096653209066e-10	0.46047738	0.5942093	-0.15380143
5.750153993924394e-10	0.4053388	0.68848664	-0.13716915
5.800146104789679e-10	0.35002166	0.7706731	-0.120938405
5.850101799094445e-10	0.2924876	0.8188114	-0.10676237
5.900018808321361e-10	0.22771382	0.8249986	-0.095171876
5.950105210439478e-10	0.15889198	0.7940288	-0.08499929
