# t (s)	mx ()	my ()	mz ()
0	1	0	0
5.254742773288541e-12	0.999851	9.9371886e-11	-2.1260962e-10
1.0134783956618518e-11	0.999414	-1.6176819e-11	-1.1554871e-10
1.506006639134255e-11	0.9985774	2.7269495e-10	-2.2878643e-10
2.0004749837933492e-11	0.9973178	3.235364e-10	1.2710358e-10
2.5055493147347913e-11	0.99577826	5.546338e-10	-1.01682864e-10
3.020436240802969e-11	0.9943484	1.6639014e-09	4.564174e-11
3.507838699384727e-11	0.9935404	1.1000237e-09	7.048471e-11
4.027406982063139e-11	0.99353117	7.0253614e-10	3.7206682e-10
4.518511030031888e-11	0.99431205	1.617682e-10	2.7847238e-10
5.02048051829848e-11	0.99561715	1.03993834e-10	4.6912774e-10
5.500371530491048e-11	0.9969967	-3.6051195e-10	4.0095402e-10
6.010612921810401e-11	0.9982687	-5.257466e-10	1.6870111e-10
6.504325811382699e-11	0.99911296	-5.176582e-10	5.1996917e-11
7.013683569212705e-11	0.99955064	-4.2059728e-10	1.7505629e-10
7.501456702876603e-11	0.99962425	-6.2858496e-10	2.9696018e-10
8.019668226905424e-11	0.9994198	-8.481275e-10	4.1828632e-10
8.520129495211802e-11	0.99902827	-9.359445e-10	3.2006992e-10
9.02554555829754e-11	0.9984924	-1.3496089e-09	2.7847238e-10
9.504517255403243e-11	0.9978333	-9.983409e-10	1.2941455e-10
1.0025014079285485e-10	0.99690735	-1.1462432e-09	-1.1092676e-10
1.0512175153913576e-10	0.9959026	-6.23963e-10	-3.2700284e-10
1.1007739525430855e-10	0.9949668	-6.0085326e-10	-5.783213e-10
1.1511450337607503e-10	0.9944151	-9.290116e-10	-6.343624e-10
1.2023279504908864e-10	0.99450314	-4.2290826e-10	-6.2280753e-10
1.2520063202159706e-10	0.9952261	-5.5694477e-10	-6.4013983e-10
1.302173296736365e-10	0.9963539	-7.256459e-10	-8.0652995e-10
1.3518527449162117e-10	0.9974945	4.8530457e-11	-6.8982575e-10
1.4018427031536643e-10	0.9983525	2.056767e-10	-7.5222206e-10
1.450515858195932e-10	0.9987966	3.8362172e-10	-6.771154e-10
1.5011040737185196e-10	0.99894273	1.5321758e-09	-6.3089595e-10
1.550149682621803e-10	0.9989801	1.7563403e-09	-3.7380007e-10
1.6008139343609432e-10	0.999047	1.7262977e-09	-3.7524442e-10
1.6509575531580214e-10	0.99907434	2.2000475e-09	-1.871889e-10
1.7003096615423598e-10	0.998868	2.5397606e-09	9.012799e-11
1.7507211236941545e-10	0.998265	2.5651812e-09	2.0798767e-10
1.8008359555177737e-10	0.9972987	2.4935412e-09	1.8776665e-10
1.851542907247458e-10	0.99617136	2.8933396e-09	3.050486e-10
1.9006110333049889e-10	0.9952527	1.9204196e-09	6.9329226e-12
1.9500327538796152e-10	0.99475706	1.6500356e-09	1.3865845e-10
2.0015144120644464e-10	0.9948181	1.2664139e-09	2.761614e-10
2.050535867571276e-10	0.9953744	1.2340602e-09	3.928656e-10
2.1017790350169862e-10	0.9962922	1.4651576e-09	3.119815e-10
2.1506308293864882e-10	0.99726516	1.2617919e-09	1.6407917e-10
2.2002149891866483e-10	0.99817073	1.0676701e-09	3.0158212e-10
2.2524742448626258e-10	0.9989324	6.054752e-10	3.0042663e-11
2.3017653632397513e-10	0.9994352	1.1323773e-09	-7.16402e-11
2.350610064343745e-10	0.9997143	1.0792249e-09	-9.41722e-11
2.4014446535460964e-10	0.999746	9.44033e-10	9.3016705e-11
2.4519196922866793e-10	0.9994745	1.0041182e-09	3.4549064e-10
2.50250076589742e-10	0.99886334	7.3026785e-10	3.9864304e-10
2.5510645314056e-10	0.9979748	7.857312e-10	5.430789e-10
2.6002402299098807e-10	0.996873	-3.4664613e-10	6.4591726e-10
2.6523067192089274e-10	0.9956999	-9.428774e-10	7.9844154e-10
2.701596121958438e-10	0.9948709	-2.0983646e-09	5.8756516e-10
2.750859901930599e-10	0.9945768	-1.9319744e-09	3.4635725e-10
2.8000864311342344e-10	0.9949285	-2.6483764e-09	2.7153946e-10
2.850871424365696e-10	0.9958487	-2.232401e-09	1.2421486e-10
2.9010940517468005e-10	0.9970166	-3.6790708e-09	3.928656e-11
2.9513797547041146e-10	0.9981262	-3.3208698e-09	-2.1954254e-10
