# t (s)	mx ()	my ()	mz ()
0	1	0	0
5.015045145950981e-12	0.99968153	-0.01269833	-0.0004297651
1.001285547101101e-11	0.9986789	-0.025241122	-0.0014844398
1.5014720676742763e-11	0.99679995	-0.03716621	-0.0031831714
2.0002769514856462e-11	0.9940004	-0.04787636	-0.005491214
2.500030457173237e-11	0.990636	-0.056903508	-0.008330014
3.0004116930462646e-11	0.98753136	-0.06384053	-0.011561229
3.500832166420559e-11	0.98565674	-0.0684427	-0.01503097
4.000840482381765e-11	0.985616	-0.07057805	-0.018609542
4.500867876146906e-11	0.98733866	-0.07014418	-0.022215279
5.000252539365212e-11	0.99016416	-0.067038745	-0.025783975
5.500722479259439e-11	0.9931945	-0.06116531	-0.029258449
6.001416078069802e-11	0.99562806	-0.052526146	-0.032533847
6.500889762482418e-11	0.99704266	-0.04127675	-0.035473824
7.00009864786492e-11	0.99750316	-0.02767057	-0.03794264
7.501442235085692e-11	0.9972068	-0.012003777	-0.039821327
8.001111954522085e-11	0.9963193	0.005166261	-0.040980756
8.500476109469467e-11	0.995067	0.023365676	-0.041330155
9.000504432766798e-11	0.9933419	0.042059924	-0.04079936
9.501336637977561e-11	0.9906206	0.06060759	-0.03935837
1.000132924396891e-10	0.98639554	0.07822462	-0.037038505
1.0500507597619781e-10	0.98093784	0.09426425	-0.03393776
1.1000124627142143e-10	0.97565454	0.108340494	-0.030205293
1.1500341856261077e-10	0.9724804	0.12018627	-0.026007952
1.2001102605370332e-10	0.9726423	0.12949209	-0.021472584
1.250138201422104e-10	0.9759508	0.13579516	-0.016704885
1.3000490549651214e-10	0.9805696	0.13857676	-0.011806306
1.350097241383886e-10	0.98408854	0.13739921	-0.0068828617
1.400140919171155e-10	0.98494524	0.13208374	-0.002121664
1.4500263545461957e-10	0.9834626	0.12287691	0.002304208
1.5000215400662278e-10	0.98180073	0.110309646	0.00623789
1.5500786488745832e-10	0.9824962	0.0951011	0.00960118
1.6001146961462662e-10	0.9860262	0.07765185	0.012494871
1.650072000965823e-10	0.98994476	0.05801063	0.014950835
1.7001030746126304e-10	0.99074906	0.036323536	0.016754324
1.750064782056896e-10	0.98637074	0.013358327	0.017567402
1.8000113177980928e-10	0.9776838	-0.009897784	0.017210389
1.850124633882517e-10	0.96800876	-0.032816347	0.01574582
1.9001575973921548e-10	0.96102136	-0.055147532	0.0133348135
1.950022679415397e-10	0.9587469	-0.07681021	0.0100372685
2.000129114034744e-10	0.9612923	-0.097630054	0.0059347996
2.0500165392867268e-10	0.9664409	-0.11664924	0.0013348775
2.100151602332313e-10	0.9706992	-0.13283415	-0.0035617808
2.1501169368947066e-10	0.9713732	-0.14475776	-0.008477656
2.2000068209280636e-10	0.9684191	-0.15173863	-0.013005218
2.2500874113741352e-10	0.9639455	-0.15407047	-0.016692767
2.3000555639614053e-10	0.96014756	-0.15300024	-0.019224986
2.350148999592936e-10	0.95796794	-0.15055995	-0.020627478
2.4000583642108454e-10	0.9571428	-0.14887592	-0.021308962
2.4500167540498194e-10	0.9563248	-0.1492863	-0.022343474
2.5001115277413356e-10	0.95376277	-0.15134844	-0.025170337
2.550114170602547e-10	0.94731236	-0.15221393	-0.030469386
2.6000634838139845e-10	0.93565726	-0.14825216	-0.03753253
2.6500046844941245e-10	0.921054	-0.13751043	-0.044729505
2.70015698281962e-10	0.91031545	-0.12054111	-0.050666355
2.750022962079301e-10	0.9115119	-0.09968766	-0.05473222
2.800058445783169e-10	0.9261898	-0.076892786	-0.0575689
2.8501148420489e-10	0.9468548	-0.052450486	-0.060667433
2.900110517236312e-10	0.96265006	-0.02505935	-0.06506821
2.950071200992669e-10	0.96686405	0.005671263	-0.070587404
3.000143409443281e-10	0.95859027	0.03801124	-0.07666522
3.05004173538427e-10	0.940347	0.069437884	-0.08353183
