# t (s)	mx ()	my ()	mz ()
0	0.96845245	1.6535523e-08	-2.638995e-10
1.0102086293270965e-12	0.968434	5.95154e-05	-0.00073892775
2.008891790626765e-12	0.96838963	0.0002068204	-0.0014673766
3.0074462771602173e-12	0.96831965	0.00044162106	-0.0021934866
4.016630776357673e-12	0.9682232	0.00076730154	-0.0029248223
5.017196994046464e-12	0.968102	0.0011773321	-0.0036471998
6.0258039840958286e-12	0.96795416	0.0016778334	-0.004372421
7.024115545184294e-12	0.96778274	0.002258751	-0.0050870995
8.020370335355786e-12	0.9675865	0.002922604	-0.005796999
9.026090670325511e-12	0.967363	0.0036772708	-0.006510119
1.0004693298754199e-11	0.967121	0.0044923406	-0.0072004693
1.1011527857302561e-11	0.9668468	0.00541323	-0.007906957
1.2015913529415063e-11	0.9665477	0.0064141764	-0.008607788
1.3014924805409422e-11	0.966225	0.0074903895	-0.009300858
1.4007614778691357e-11	0.9658794	0.008638501	-0.009985477
1.5027503053234848e-11	0.9654989	0.009898776	-0.010684533
1.6027453906083754e-11	0.96510077	0.011212809	-0.011365576
1.7004243652520463e-11	0.96468806	0.012570367	-0.012026612
1.8004235867505423e-11	0.9642414	0.01403488	-0.012698953
1.9026055853213772e-11	0.9637598	0.01560835	-0.013381319
2.001961762766018e-11	0.9632672	0.017211858	-0.014040286
2.1018839407209022e-11	0.962748	0.01889657	-0.014698496
2.2014988824567708e-11	0.9622064	0.020646978	-0.015350199
2.3012182280470737e-11	0.96164083	0.02246901	-0.015998129
2.4013318318291628e-11	0.9610495	0.024367373	-0.016644176
2.5008974243483358e-11	0.96043825	0.026322914	-0.017282318
2.600042751870694e-11	0.9598073	0.028336044	-0.017913498
2.7019392733761537e-11	0.9591359	0.03047235	-0.018557828
2.8015122962207297e-11	0.95845795	0.032624755	-0.019183282
2.9012425629398083e-11	0.9577578	0.034843702	-0.019805681
3.000438745037299e-11	0.9570407	0.03711241	-0.020420855
3.1023780541494644e-11	0.9562831	0.039506834	-0.021049138
3.2016092107327113e-11	0.95552576	0.041897926	-0.02165709
3.300862426738584e-11	0.95474964	0.04434802	-0.022261757
3.400088531969309e-11	0.9539553	0.0468549	-0.022863034
3.5021168097413876e-11	0.95312005	0.049491435	-0.023478143
3.6015200035133014e-11	0.9522892	0.05211656	-0.02407459
3.70107039879438e-11	0.9514407	0.054800432	-0.024669355
3.800684973885118e-11	0.9505761	0.057540104	-0.025262201
3.900119526332962e-11	0.9496986	0.06032791	-0.025851957
4.0022922779592215e-11	0.9487826	0.06324692	-0.026456177
4.1017555641205384e-11	0.9478779	0.066140816	-0.027042972
4.2012850660077265e-11	0.9469607	0.0690876	-0.02762914
4.300872603334324e-11	0.94603187	0.072086565	-0.028215023
4.4004532272347345e-11	0.9450929	0.075135306	-0.02880065
4.502622065399991e-11	0.9441199	0.07831476	-0.02940175
4.601915459702517e-11	0.94316566	0.08145434	-0.029986652
4.701170953210331e-11	0.9422041	0.08464131	-0.030572526
